X;Y;x0_Si;ampli_Si;area_Si;fwhm_Si;Quadrant;Zone;Slot;DeltaW;Strain (GPa);NB pts
0.0;-89.333;514.846;7798.96;46997.496;3.836;;Mid-Radius;4;5.854000000000042;1.273245000000009;49pts
34.186;-82.533;514.901;7668.409;47472.133;3.941;Q4;Mid-Radius;4;5.799000000000092;1.26128250000002;49pts
63.168;-63.168;514.996;7900.681;48604.084;3.916;Q4;Mid-Radius;4;5.704000000000065;1.240620000000014;49pts
82.533;-34.186;514.972;7720.418;47231.21;3.895;Q4;Mid-Radius;4;5.7280000000000655;1.2458400000000145;49pts
134.0;0.0;515.041;8250.446;50630.001;3.907;;Edge;4;5.658999999999992;1.2308324999999982;49pts
129.434;34.682;515.125;8161.917;50335.845;3.926;Q3;Edge;4;5.5750000000000455;1.21256250000001;49pts
116.047;67.0;515.094;8308.522;50724.359;3.887;Q3;Edge;4;5.6059999999999945;1.2193049999999988;49pts
94.752;94.752;515.088;8255.016;51123.97;3.943;Q3;Edge;4;5.61200000000008;1.2206100000000173;49pts
67.0;116.047;515.117;8333.843;51942.361;3.968;Q3;Edge;4;5.583000000000084;1.2143025000000185;49pts
34.682;129.434;515.051;8474.95;53023.164;3.983;Q3;Edge;4;5.649000000000001;1.2286575000000002;49pts
0.0;134.0;514.977;8689.25;53170.595;3.896;;Edge;4;5.72300000000007;1.2447525000000152;49pts
-34.682;129.434;514.961;7949.816;49394.749;3.956;Q2;Edge;4;5.739000000000033;1.2482325000000072;49pts
-67.0;116.047;515.098;8026.54;49770.977;3.948;Q2;Edge;4;5.602000000000089;1.2184350000000197;49pts
-94.752;94.752;515.14;7445.174;46799.155;4.002;Q2;Edge;4;5.560000000000059;1.209300000000013;49pts
-116.048;67.0;515.124;8500.785;53220.613;3.986;Q2;Edge;4;5.576000000000022;1.2127800000000046;49pts
-129.434;34.682;515.035;8043.128;49958.632;3.954;Q2;Edge;4;5.665000000000077;1.2321375000000168;49pts
-134.0;0.0;515.062;8455.639;52848.85;3.979;;Edge;4;5.638000000000034;1.2262650000000073;49pts
-129.434;-34.682;514.964;8319.938;51587.05;3.947;Q1;Edge;4;5.73599999999999;1.247579999999998;49pts
-116.047;-67.0;515.01;8643.759;53415.511;3.934;Q1;Edge;4;5.690000000000055;1.237575000000012;49pts
-94.752;-94.752;515.072;8243.247;50858.504;3.928;Q1;Edge;4;5.628000000000043;1.2240900000000092;49pts
-67.0;-116.047;515.196;8557.513;52837.997;3.931;Q1;Edge;4;5.504000000000019;1.1971200000000042;49pts
-34.682;-129.434;515.091;7922.548;48952.636;3.934;Q1;Edge;4;5.609000000000037;1.219957500000008;49pts
0.0;-134.0;515.069;7800.844;47838.549;3.904;;Edge;4;5.6310000000000855;1.2247425000000185;49pts
34.682;-129.434;515.101;7500.939;45643.549;3.874;Q4;Edge;4;5.599000000000046;1.21778250000001;49pts
67.0;-116.047;515.155;8405.734;51178.664;3.876;Q4;Edge;4;5.545000000000073;1.206037500000016;49pts
94.752;-94.752;515.072;8216.64;50371.912;3.903;Q4;Edge;4;5.628000000000043;1.2240900000000092;49pts
116.047;-67.0;515.064;7595.748;46412.472;3.89;Q4;Edge;4;5.636000000000081;1.2258300000000175;49pts
129.434;-34.682;515.201;7923.807;48784.371;3.919;Q4;Edge;4;5.499000000000024;1.1960325000000052;49pts
0.0;0.0;514.634;8414.852;50715.575;3.837;;Center;5;6.066000000000031;1.3193550000000067;49pts
44.667;0.0;514.824;8266.105;49986.495;3.85;;Center;5;5.87600000000009;1.2780300000000195;49pts
31.584;31.584;514.766;8380.959;51112.516;3.883;Q3;Center;5;5.934000000000083;1.290645000000018;49pts
0.0;44.667;514.922;8275.452;50600.353;3.893;;Center;5;5.77800000000002;1.2567150000000042;49pts
-31.584;31.584;514.756;7109.026;43020.262;3.853;Q2;Center;5;5.944000000000074;1.292820000000016;49pts
-44.667;0.0;514.741;7282.068;44356.064;3.878;;Center;5;5.95900000000006;1.2960825000000131;49pts
-31.584;-31.584;514.886;8415.333;51780.889;3.917;Q1;Center;5;5.814000000000078;1.264545000000017;49pts
0.0;-44.667;514.698;8568.135;52396.487;3.893;;Center;5;6.002000000000066;1.3054350000000143;49pts
31.584;-31.584;514.698;8543.373;51854.615;3.864;Q4;Center;5;6.002000000000066;1.3054350000000143;49pts
89.333;0.0;514.813;7482.306;45524.91;3.873;;Mid-Radius;5;5.887000000000057;1.2804225000000125;49pts
82.533;34.186;514.916;7603.465;45947.527;3.847;Q3;Mid-Radius;5;5.783999999999992;1.258019999999998;49pts
63.168;63.168;514.921;7504.775;45626.882;3.87;Q3;Mid-Radius;5;5.778999999999996;1.2569324999999991;49pts
34.186;82.533;514.87;7251.585;44538.679;3.91;Q3;Mid-Radius;5;5.830000000000041;1.2680250000000088;49pts
0.0;89.333;514.864;7229.774;44347.57;3.905;;Mid-Radius;5;5.836000000000013;1.2693300000000027;49pts
-34.186;82.533;514.897;6895.937;42154.666;3.892;Q2;Mid-Radius;5;5.802999999999997;1.2621524999999991;49pts
-63.168;63.168;514.963;7601.681;46063.011;3.858;Q2;Mid-Radius;5;5.73700000000008;1.2477975000000174;49pts
-82.533;34.186;514.893;7501.594;45788.842;3.886;Q2;Mid-Radius;5;5.807000000000016;1.2630225000000035;49pts
-89.333;0.0;514.983;6934.796;42214.712;3.875;;Mid-Radius;5;5.717000000000098;1.2434475000000214;49pts
-82.533;-34.186;514.902;7344.121;44874.359;3.89;Q1;Mid-Radius;5;5.798000000000002;1.2610650000000003;49pts
-63.168;-63.168;514.826;7548.562;46053.324;3.884;Q1;Mid-Radius;5;5.874000000000024;1.2775950000000051;49pts
-34.186;-82.533;515.017;7662.561;47221.964;3.923;Q1;Mid-Radius;5;5.682999999999993;1.2360524999999984;49pts
0.0;-89.333;514.867;7585.849;46443.618;3.898;;Mid-Radius;5;5.833000000000084;1.268677500000018;49pts
34.186;-82.533;515.02;7494.431;45507.861;3.866;Q4;Mid-Radius;5;5.680000000000064;1.2354000000000138;49pts
63.168;-63.168;514.88;7554.587;46328.63;3.904;Q4;Mid-Radius;5;5.82000000000005;1.2658500000000108;49pts
82.533;-34.186;514.844;7461.289;45194.99;3.856;Q4;Mid-Radius;5;5.8559999999999945;1.2736799999999988;49pts
134.0;0.0;515.122;7836.398;48169.749;3.913;;Edge;5;5.578000000000088;1.2132150000000193;49pts
129.434;34.682;515.103;7914.231;48327.337;3.887;Q3;Edge;5;5.597000000000094;1.2173475000000205;49pts
116.047;67.0;515.179;8028.909;48906.079;3.878;Q3;Edge;5;5.521000000000072;1.2008175000000156;49pts
94.752;94.752;515.051;7865.779;48523.913;3.927;Q3;Edge;5;5.649000000000001;1.2286575000000002;49pts
67.0;116.047;515.065;8031.101;49179.952;3.898;Q3;Edge;5;5.634999999999991;1.225612499999998;49pts
34.682;129.434;515.054;7969.863;49541.814;3.957;Q3;Edge;5;5.646000000000072;1.2280050000000156;49pts
0.0;134.0;514.968;8057.781;49517.663;3.912;;Edge;5;5.732000000000085;1.2467100000000184;49pts
-34.682;129.434;514.891;7543.911;46288.611;3.906;Q2;Edge;5;5.809000000000083;1.263457500000018;49pts
-67.0;116.047;514.999;7142.864;44352.185;3.953;Q2;Edge;5;5.701000000000022;1.2399675000000048;49pts
-94.752;94.752;514.916;7690.87;47580.898;3.939;Q2;Edge;5;5.783999999999992;1.258019999999998;49pts
-116.047;67.0;515.138;7850.793;48870.732;3.963;Q2;Edge;5;5.562000000000012;1.209735000000003;49pts
-129.434;34.682;515.128;7465.556;46330.904;3.951;Q2;Edge;5;5.572000000000003;1.2119100000000005;49pts
-134.0;0.0;515.062;8080.399;49807.533;3.924;;Edge;5;5.638000000000034;1.2262650000000073;49pts
-129.434;-34.682;514.969;7948.294;48927.294;3.919;Q1;Edge;5;5.7309999999999945;1.246492499999999;49pts
-116.047;-67.0;514.968;7850.98;47960.406;3.889;Q1;Edge;5;5.732000000000085;1.2467100000000184;49pts
-94.752;-94.752;515.077;7763.947;47493.897;3.894;Q1;Edge;5;5.623000000000047;1.2230025000000102;49pts
